x,y,count,cluster_id
1,1,15,-1
1,2,458,35
1,3,258,35
1,4,47,35
1,5,4,35
1,6,5,35
1,7,3,35
1,8,6,35
1,9,12,35
1,10,6,35
1,11,45,35
1,12,20,35
1,13,2,35
1,17,1,-1
1,18,1,-1
1,20,1,-1
1,24,2,35
1,25,15,35
1,26,9,35
1,27,15,35
1,28,3,-1
1,30,4,-1
1,31,10,35
1,32,222,35
1,33,735,35
1,34,383,35
1,35,36,35
1,36,88,35
1,37,27,35
1,38,22,35
1,39,19,35
1,40,65,35
1,41,128,35
1,42,1641,35
1,43,340,35
1,44,155,35
1,45,13,35
1,46,22,35
1,47,331,35
1,48,810,35
1,49,353,35
1,50,22,35
1,51,237,35
1,52,73,35
1,53,73,35
1,54,16,35
1,55,3,35
1,56,182,35
1,57,1,35
1,58,2,35
1,59,9,35
1,60,11,-1
1,67,2,-1
1,68,4,0
1,75,3,0
1,79,1,0
1,80,6,0
1,81,1,0
1,87,1,-1
1,101,1,-1
1,102,4,-1
1,103,2,-1
1,105,1,-1
1,136,1,-1
2,1,7,-1
2,2,21,35
2,3,31,35
2,4,7,35
2,5,5,35
2,6,3,35
2,7,5,35
2,8,22,35
2,9,19,35
2,10,15,35
2,13,1,35
2,14,2,35
2,15,1,35
2,16,1,-1
2,24,1,35
2,25,1,35
2,26,3,35
2,27,3,35
2,28,15,35
2,29,10,35
2,30,51,35
2,31,50,35
2,32,30,35
2,33,305,35
2,34,37,35
2,35,73,35
2,36,308,35
2,37,566,35
2,38,20,35
2,39,38,35
2,40,80,35
2,41,104,35
2,42,291,35
2,43,477,35
2,44,217,35
2,45,227,35
2,46,121,35
2,47,33,35
2,48,18,35
2,49,2,35
2,50,3,35
2,51,31,35
2,52,473,35
2,53,17,35
2,54,28,35
2,55,49,35
2,56,336,35
2,57,33,35
2,58,34,35
2,59,26,35
2,68,6,0
2,69,3,0
2,78,3,0
2,80,1,0
2,87,1,0
2,146,1,-1
2,171,1,-1
3,7,2,35
3,8,1,35
3,9,58,35
3,10,6,35
3,11,91,35
3,12,3,35
3,13,3,35
3,14,2,35
3,15,2,35
3,22,2,35
3,24,2,35
3,25,20,35
3,26,3,35
3,27,2,35
3,28,45,35
3,29,26,35
3,31,9,35
3,32,12,35
3,33,69,35
3,34,35,35
3,35,31,35
3,36,13,35
3,37,462,35
3,38,60,35
3,39,27,35
3,40,48,35
3,41,1,35
3,42,1,35
3,43,33,35
3,44,140,35
3,45,52,35
3,46,4,35
3,47,4,35
3,48,56,35
3,49,4,35
3,51,4,35
3,52,47,35
3,54,6,35
3,59,1,-1
3,71,4,0
3,79,2,0
3,80,1,0
3,106,1,-1
3,160,1,-1
3,164,1,-1
4,9,38,35
4,11,3,35
4,12,8,35
4,14,3,35
4,15,3,35
4,21,1,35
4,22,8,35
4,23,12,35
4,24,13,35
4,25,153,35
4,26,56,35
4,27,52,35
4,28,60,35
4,31,3,35
4,32,9,35
4,33,55,35
4,34,34,35
4,37,1,35
4,38,95,35
4,39,41,35
4,40,11,35
4,41,3,35
4,42,2,35
4,43,3,35
4,44,8,35
4,45,32,35
4,46,10,35
4,48,1,35
4,49,1,35
4,51,3,35
4,71,2,0
4,72,2,-1
4,80,1,0
4,83,1,0
4,87,1,0
4,104,1,-1
5,4,1,35
5,5,1,35
5,6,4,35
5,7,5,35
5,8,24,35
5,9,20,35
5,10,1,35
5,13,1,35
5,14,2,35
5,15,6,35
5,16,2,35
5,20,1,-1
5,22,1,35
5,23,5,35
5,24,68,35
5,25,702,35
5,26,604,35
5,27,13,35
5,28,7,35
5,29,1,35
5,30,6,35
5,31,3,35
5,32,1,35
5,33,96,35
5,34,559,35
5,35,557,35
5,36,49,35
5,37,13,35
5,38,76,35
5,39,3,35
5,40,9,35
5,42,5,35
5,45,1,35
5,46,1,35
5,47,7,35
5,49,2,35
5,51,1,-1
5,59,1,-1
5,80,3,0
5,81,3,0
5,83,2,0
5,86,1,0
5,87,1,0
5,104,2,-1
5,118,1,-1
5,130,1,-1
6,3,2,35
6,4,15,35
6,5,6,35
6,6,1,35
6,7,4,35
6,8,34,35
6,9,2,35
6,10,1,35
6,15,2,35
6,21,31,35
6,22,7,35
6,23,10,35
6,24,25,35
6,25,16,35
6,26,10,35
6,27,8,35
6,28,3,35
6,29,11,35
6,30,9,35
6,31,4,35
6,32,28,35
6,33,612,35
6,34,588,35
6,35,17,35
6,36,2,35
6,37,17,35
6,38,7,35
6,41,1,35
6,42,5,35
6,43,5,35
6,46,2,35
6,47,7,35
6,48,2,35
6,49,3,-1
6,59,1,-1
6,60,1,-1
6,81,4,0
6,82,4,0
6,83,2,0
6,88,2,0
6,104,1,16
6,107,1,-1
6,126,1,-1
7,1,18,-1
7,2,1,35
7,3,4,35
7,4,2,35
7,5,308,35
7,6,4,35
7,7,27,35
7,8,6,35
7,9,2,35
7,10,3,35
7,11,4,35
7,12,1,35
7,15,53,35
7,16,7,35
7,17,2,35
7,19,5,35
7,20,9,35
7,21,63,35
7,22,51,35
7,23,4,35
7,24,12,35
7,25,6,35
7,26,47,35
7,27,23,35
7,28,10,35
7,29,53,35
7,30,149,35
7,31,49,35
7,32,1,35
7,33,49,35
7,34,675,35
7,35,180,35
7,36,74,35
7,37,29,35
7,38,8,35
7,41,1,35
7,42,9,35
7,43,8,-1
7,46,1,-1
7,58,2,-1
7,81,3,0
7,103,1,-1
7,105,1,16
7,106,3,-1
7,107,1,-1
8,1,2,35
8,3,4,35
8,4,2,35
8,5,4,35
8,6,48,35
8,7,5,35
8,8,6,35
8,9,1,35
8,10,2,35
8,11,6,35
8,12,22,35
8,13,18,35
8,14,1,35
8,15,4,35
8,16,2,35
8,18,5,35
8,19,31,35
8,20,24,35
8,21,9,35
8,22,4,35
8,23,13,35
8,24,62,35
8,25,37,35
8,26,28,35
8,27,11,35
8,28,12,35
8,29,1,35
8,30,135,35
8,31,14,35
8,32,2,35
8,33,27,35
8,34,70,35
8,35,87,35
8,36,78,35
8,37,2,35
8,38,1,35
8,39,1,35
8,40,3,35
8,41,14,35
8,60,1,-1
8,92,1,-1
8,94,1,14
8,100,1,-1
8,104,4,16
8,105,3,16
8,130,1,-1
9,1,3,35
9,2,3,35
9,3,4,35
9,5,1,35
9,6,127,35
9,7,169,35
9,8,5,35
9,9,3,35
9,11,23,35
9,12,8,35
9,13,34,35
9,14,140,35
9,16,8,35
9,17,1,35
9,18,15,35
9,19,13,35
9,20,10,35
9,21,4,35
9,23,6,35
9,24,11,35
9,25,149,35
9,26,46,35
9,27,3,35
9,28,1,35
9,29,16,35
9,30,88,35
9,31,2,35
9,32,5,35
9,33,40,35
9,34,178,35
9,35,6,35
9,36,5,35
9,37,3,35
9,38,3,35
9,39,3,35
9,40,1,35
9,41,3,35
9,95,1,14
9,96,12,14
9,99,1,-1
9,103,1,16
9,104,2,16
9,105,1,16
9,133,1,-1
10,1,123,35
10,2,98,35
10,3,80,35
10,4,5,35
10,5,101,35
10,6,423,35
10,7,139,35
10,8,61,35
10,9,27,35
10,10,2,35
10,11,57,35
10,12,61,35
10,13,48,35
10,14,16,35
10,15,7,35
10,16,48,35
10,17,84,35
10,18,15,35
10,20,2,35
10,21,4,35
10,24,28,35
10,25,566,35
10,26,660,35
10,27,12,35
10,28,4,35
10,29,5,35
10,30,5,35
10,31,1,35
10,32,75,35
10,33,43,35
10,34,4,35
10,35,1,35
10,36,8,35
10,37,8,35
10,38,17,35
10,39,3,35
10,40,4,35
10,46,1,-1
10,49,2,-1
10,51,1,-1
10,52,1,-1
10,57,1,-1
10,87,1,-1
10,92,26,-1
10,94,64,14
10,95,1,14
10,96,11,14
10,97,571,14
10,103,3,16
10,104,1,16
11,1,205,35
11,2,307,35
11,3,131,35
11,4,62,35
11,5,35,35
11,6,109,35
11,7,25,35
11,8,26,35
11,9,114,35
11,10,65,35
11,11,72,35
11,12,440,35
11,13,67,35
11,14,32,35
11,15,39,35
11,16,5,35
11,17,2,35
11,19,1,35
11,21,2,35
11,23,1,35
11,24,9,35
11,25,5,35
11,26,15,35
11,27,9,35
11,28,1,35
11,29,3,35
11,30,6,35
11,31,23,35
11,32,8,35
11,33,17,35
11,34,5,35
11,35,3,35
11,36,8,35
11,37,9,35
11,38,6,35
11,39,1,35
11,40,3,35
11,45,1,-1
11,47,1,-1
11,49,1,-1
11,91,1,-1
11,94,257,14
11,95,181,14
11,96,442,14
11,102,2,16
11,103,1,16
11,104,1,16
11,105,2,16
12,1,37,35
12,2,48,35
12,3,126,35
12,4,25,35
12,5,63,35
12,6,351,35
12,7,71,35
12,8,132,35
12,9,69,35
12,10,180,35
12,11,59,35
12,12,2,35
12,13,38,35
12,14,10,35
12,15,18,35
12,21,2,35
12,24,6,35
12,25,4,35
12,26,3,35
12,30,46,35
12,31,51,35
12,32,14,35
12,33,658,35
12,34,12,35
12,35,1,35
12,38,2,35
12,40,1,35
12,41,1,35
12,43,1,-1
12,44,1,-1
12,95,2,14
12,96,291,14
12,102,1,-1
12,103,1,16
12,105,1,-1
13,1,13,35
13,2,11,35
13,3,13,35
13,4,91,35
13,5,590,35
13,6,622,35
13,7,847,35
13,8,295,35
13,9,70,35
13,10,30,35
13,11,5,35
13,12,13,35
13,13,137,35
13,14,35,35
13,15,4,35
13,18,1,-1
13,19,1,35
13,20,2,35
13,21,1,35
13,22,2,35
13,24,11,35
13,25,11,35
13,26,14,35
13,27,142,35
13,28,12,35
13,29,10,35
13,30,32,35
13,31,36,35
13,32,16,35
13,33,13,35
13,34,2,35
13,35,2,35
13,40,1,35
13,41,1,35
13,42,1,35
13,88,1,-1
13,89,1,-1
13,96,1,14
13,98,1,14
13,100,1,-1
13,104,1,-1
14,1,4,35
14,2,12,35
14,3,18,35
14,4,14,35
14,5,111,35
14,6,427,35
14,7,544,35
14,8,591,35
14,9,188,35
14,10,34,35
14,11,150,35
14,12,17,35
14,13,3,35
14,14,2,35
14,19,17,-1
14,24,2,35
14,25,4,35
14,26,25,35
14,27,105,35
14,28,39,35
14,29,2,35
14,30,11,35
14,31,3,35
14,33,1,35
14,36,3,-1
14,39,2,-1
14,41,1,35
14,43,3,-1
14,100,2,-1
14,101,1,17
14,103,1,17
15,2,3,35
15,3,16,35
15,4,21,35
15,5,244,35
15,6,230,35
15,7,461,35
15,8,328,35
15,9,127,35
15,10,139,35
15,11,382,35
15,12,4,35
15,13,18,35
15,14,10,35
15,15,5,35
15,20,14,35
15,21,1,-1
15,22,1,35
15,24,7,35
15,25,10,35
15,26,44,35
15,27,27,35
15,28,4,35
15,29,2,35
15,30,4,35
15,31,35,35
15,33,1,-1
15,38,1,-1
15,42,4,-1
15,92,6,-1
15,98,4,-1
15,102,1,17
16,1,18,35
16,2,2,35
16,3,79,35
16,4,211,35
16,5,423,35
16,6,296,35
16,7,747,35
16,8,629,35
16,9,427,35
16,10,362,35
16,11,60,35
16,12,25,35
16,13,12,35
16,14,16,35
16,15,13,35
16,23,4,35
16,24,23,35
16,25,30,35
16,26,25,35
16,27,1,35
16,28,7,35
16,29,1,35
16,33,1,-1
16,36,3,-1
16,37,13,-1
16,38,1,-1
