uid,hotspot_0,hotspot_1,hotspot_2
0,26,-1,-1
38,26,-1,-1
50,26,-1,-1
54,26,-1,-1
59,26,-1,-1
77,26,-1,-1
84,26,-1,-1
92,26,-1,-1
93,26,-1,-1
104,26,-1,-1
121,26,-1,-1
125,26,-1,-1
147,26,-1,-1
148,26,-1,-1
151,26,-1,-1
162,26,-1,-1
163,26,-1,-1
178,26,-1,-1
203,26,-1,-1
222,26,-1,-1
226,26,-1,-1
230,26,13,-1
255,26,-1,-1
279,26,8,-1
288,26,-1,-1
301,26,-1,-1
302,26,-1,-1
304,26,-1,-1
318,26,-1,-1
337,26,-1,-1
338,26,-1,-1
369,26,-1,-1
371,26,-1,-1
389,26,-1,-1
394,26,-1,-1
398,26,-1,-1
408,26,13,-1
415,26,-1,-1
416,26,-1,-1
429,26,-1,-1
433,26,-1,-1
437,26,-1,-1
444,26,-1,-1
449,26,13,16
460,26,-1,-1
463,26,-1,-1
465,26,-1,-1
466,26,-1,-1
468,26,-1,-1
470,26,-1,-1
472,26,-1,-1
485,26,-1,-1
515,26,-1,-1
517,26,-1,-1
528,26,-1,-1
532,26,-1,-1
538,26,-1,-1
542,26,-1,-1
547,26,-1,-1
549,26,-1,-1
554,26,-1,-1
562,26,-1,-1
579,26,-1,-1
608,26,-1,-1
619,26,-1,-1
624,26,-1,-1
625,26,-1,-1
630,26,-1,-1
648,26,-1,-1
659,26,-1,-1
666,26,-1,-1
671,26,-1,-1
682,26,-1,-1
703,26,-1,-1
704,26,5,-1
722,26,21,16
725,26,-1,-1
734,26,-1,-1
735,26,-1,-1
743,26,-1,-1
759,26,-1,-1
768,26,-1,-1
779,26,-1,-1
802,26,-1,-1
803,26,-1,-1
820,26,-1,-1
824,26,-1,-1
832,26,-1,-1
842,26,-1,-1
844,26,-1,-1
849,26,-1,-1
862,26,-1,-1
869,26,-1,-1
908,26,-1,-1
911,26,-1,-1
921,26,-1,-1
943,26,-1,-1
944,26,-1,-1
971,26,-1,-1
988,26,-1,-1
1001,26,-1,-1
1041,26,-1,-1
1052,26,-1,-1
1058,26,-1,-1
